Sampled Sewer Area,DataZone2011,Pop2011,dz_pop,prop_dz
Avse Pfi - Edinburgh DOA,S01008216,515,515,1.0
Avse Pfi - Edinburgh DOA,S01008217,573,573,1.0
Avse Pfi - Edinburgh DOA,S01008218,1072,1084,0.988929889298893
Avse Pfi - Edinburgh DOA,S01008219,1009,1009,1.0
Avse Pfi - Edinburgh DOA,S01008220,644,644,1.0
Avse Pfi - Edinburgh DOA,S01008221,718,718,1.0
Avse Pfi - Edinburgh DOA,S01008222,641,641,1.0
Avse Pfi - Edinburgh DOA,S01008223,597,597,1.0
Avse Pfi - Edinburgh DOA,S01008224,907,907,1.0
Avse Pfi - Edinburgh DOA,S01008225,714,714,1.0
Avse Pfi - Edinburgh DOA,S01008226,798,798,1.0
Avse Pfi - Edinburgh DOA,S01008227,819,819,1.0
Avse Pfi - Edinburgh DOA,S01008228,597,597,1.0
Avse Pfi - Edinburgh DOA,S01008229,686,686,1.0
Avse Pfi - Edinburgh DOA,S01008230,811,811,1.0
Avse Pfi - Edinburgh DOA,S01008231,794,794,1.0
Avse Pfi - Edinburgh DOA,S01008232,686,686,1.0
Avse Pfi - Edinburgh DOA,S01008233,319,513,0.621832358674464
Avse Pfi - Edinburgh DOA,S01008235,80,939,0.08519701810436635
Avse Pfi - Edinburgh DOA,S01008238,756,756,1.0
Avse Pfi - Edinburgh DOA,S01008239,752,762,0.9868766404199475
Avse Pfi - Edinburgh DOA,S01008240,885,885,1.0
Avse Pfi - Edinburgh DOA,S01008241,648,648,1.0
Avse Pfi - Edinburgh DOA,S01008242,900,900,1.0
Avse Pfi - Edinburgh DOA,S01008243,14,950,0.014736842105263158
Avse Pfi - Edinburgh DOA,S01008250,16,1024,0.015625
Avse Pfi - Edinburgh DOA,S01008417,598,726,0.8236914600550964
Avse Pfi - Edinburgh DOA,S01008418,638,692,0.9219653179190751
Avse Pfi - Edinburgh DOA,S01008419,525,525,1.0
Avse Pfi - Edinburgh DOA,S01008420,476,476,1.0
Avse Pfi - Edinburgh DOA,S01008421,858,858,1.0
Avse Pfi - Edinburgh DOA,S01008422,621,621,1.0
Avse Pfi - Edinburgh DOA,S01008423,866,1061,0.8162111215834119
Avse Pfi - Edinburgh DOA,S01008424,835,835,1.0
Avse Pfi - Edinburgh DOA,S01008425,2465,2465,1.0
Avse Pfi - Edinburgh DOA,S01008426,573,573,1.0
Avse Pfi - Edinburgh DOA,S01008427,1068,1068,1.0
Avse Pfi - Edinburgh DOA,S01008428,676,676,1.0
Avse Pfi - Edinburgh DOA,S01008429,841,841,1.0
Avse Pfi - Edinburgh DOA,S01008430,666,666,1.0
Avse Pfi - Edinburgh DOA,S01008431,842,842,1.0
Avse Pfi - Edinburgh DOA,S01008432,701,701,1.0
Avse Pfi - Edinburgh DOA,S01008433,807,807,1.0
Avse Pfi - Edinburgh DOA,S01008434,801,801,1.0
Avse Pfi - Edinburgh DOA,S01008435,766,766,1.0
Avse Pfi - Edinburgh DOA,S01008436,870,870,1.0
Avse Pfi - Edinburgh DOA,S01008437,710,710,1.0
Avse Pfi - Edinburgh DOA,S01008438,443,443,1.0
Avse Pfi - Edinburgh DOA,S01008439,1120,1120,1.0
Avse Pfi - Edinburgh DOA,S01008440,997,997,1.0
Avse Pfi - Edinburgh DOA,S01008441,465,465,1.0
Avse Pfi - Edinburgh DOA,S01008442,688,688,1.0
Avse Pfi - Edinburgh DOA,S01008443,582,582,1.0
Avse Pfi - Edinburgh DOA,S01008444,634,634,1.0
Avse Pfi - Edinburgh DOA,S01008445,920,920,1.0
Avse Pfi - Edinburgh DOA,S01008446,1128,1128,1.0
Avse Pfi - Edinburgh DOA,S01008447,675,675,1.0
Avse Pfi - Edinburgh DOA,S01008448,755,755,1.0
Avse Pfi - Edinburgh DOA,S01008449,795,795,1.0
Avse Pfi - Edinburgh DOA,S01008450,592,592,1.0
Avse Pfi - Edinburgh DOA,S01008451,699,699,1.0
Avse Pfi - Edinburgh DOA,S01008452,631,631,1.0
Avse Pfi - Edinburgh DOA,S01008453,506,506,1.0
Avse Pfi - Edinburgh DOA,S01008454,951,951,1.0
Avse Pfi - Edinburgh DOA,S01008455,1000,1000,1.0
Avse Pfi - Edinburgh DOA,S01008456,973,973,1.0
Avse Pfi - Edinburgh DOA,S01008457,616,616,1.0
Avse Pfi - Edinburgh DOA,S01008458,994,994,1.0
Avse Pfi - Edinburgh DOA,S01008459,741,741,1.0
Avse Pfi - Edinburgh DOA,S01008460,805,805,1.0
Avse Pfi - Edinburgh DOA,S01008461,914,914,1.0
Avse Pfi - Edinburgh DOA,S01008462,564,564,1.0
Avse Pfi - Edinburgh DOA,S01008463,670,670,1.0
Avse Pfi - Edinburgh DOA,S01008464,850,850,1.0
Avse Pfi - Edinburgh DOA,S01008465,742,742,1.0
Avse Pfi - Edinburgh DOA,S01008466,744,744,1.0
Avse Pfi - Edinburgh DOA,S01008467,785,785,1.0
Avse Pfi - Edinburgh DOA,S01008468,537,678,0.7920353982300885
Avse Pfi - Edinburgh DOA,S01008469,577,577,1.0
Avse Pfi - Edinburgh DOA,S01008470,728,728,1.0
Avse Pfi - Edinburgh DOA,S01008471,858,858,1.0
Avse Pfi - Edinburgh DOA,S01008472,714,714,1.0
Avse Pfi - Edinburgh DOA,S01008473,700,700,1.0
Avse Pfi - Edinburgh DOA,S01008474,779,779,1.0
Avse Pfi - Edinburgh DOA,S01008475,610,610,1.0
Avse Pfi - Edinburgh DOA,S01008476,699,699,1.0
Avse Pfi - Edinburgh DOA,S01008477,773,773,1.0
Avse Pfi - Edinburgh DOA,S01008478,840,840,1.0
Avse Pfi - Edinburgh DOA,S01008479,762,762,1.0
Avse Pfi - Edinburgh DOA,S01008480,607,607,1.0
Avse Pfi - Edinburgh DOA,S01008481,1615,1615,1.0
Avse Pfi - Edinburgh DOA,S01008482,614,614,1.0
Avse Pfi - Edinburgh DOA,S01008483,598,598,1.0
Avse Pfi - Edinburgh DOA,S01008484,754,754,1.0
Avse Pfi - Edinburgh DOA,S01008485,1015,1015,1.0
Avse Pfi - Edinburgh DOA,S01008486,867,867,1.0
Avse Pfi - Edinburgh DOA,S01008487,759,759,1.0
Avse Pfi - Edinburgh DOA,S01008488,764,764,1.0
Avse Pfi - Edinburgh DOA,S01008489,620,620,1.0
Avse Pfi - Edinburgh DOA,S01008490,893,893,1.0
Avse Pfi - Edinburgh DOA,S01008491,914,914,1.0
Avse Pfi - Edinburgh DOA,S01008492,944,944,1.0
Avse Pfi - Edinburgh DOA,S01008493,793,793,1.0
Avse Pfi - Edinburgh DOA,S01008494,688,688,1.0
Avse Pfi - Edinburgh DOA,S01008495,891,891,1.0
Avse Pfi - Edinburgh DOA,S01008496,956,956,1.0
Avse Pfi - Edinburgh DOA,S01008497,786,786,1.0
Avse Pfi - Edinburgh DOA,S01008498,772,772,1.0
Avse Pfi - Edinburgh DOA,S01008499,996,996,1.0
Avse Pfi - Edinburgh DOA,S01008500,402,402,1.0
Avse Pfi - Edinburgh DOA,S01008501,607,607,1.0
Avse Pfi - Edinburgh DOA,S01008502,635,635,1.0
Avse Pfi - Edinburgh DOA,S01008503,833,833,1.0
Avse Pfi - Edinburgh DOA,S01008504,1112,1112,1.0
Avse Pfi - Edinburgh DOA,S01008505,711,711,1.0
Avse Pfi - Edinburgh DOA,S01008506,854,854,1.0
Avse Pfi - Edinburgh DOA,S01008507,897,897,1.0
Avse Pfi - Edinburgh DOA,S01008508,851,851,1.0
Avse Pfi - Edinburgh DOA,S01008509,994,994,1.0
Avse Pfi - Edinburgh DOA,S01008510,906,906,1.0
Avse Pfi - Edinburgh DOA,S01008511,881,881,1.0
Avse Pfi - Edinburgh DOA,S01008512,505,505,1.0
Avse Pfi - Edinburgh DOA,S01008513,706,706,1.0
Avse Pfi - Edinburgh DOA,S01008514,934,934,1.0
Avse Pfi - Edinburgh DOA,S01008515,747,747,1.0
Avse Pfi - Edinburgh DOA,S01008516,901,901,1.0
Avse Pfi - Edinburgh DOA,S01008517,860,860,1.0
Avse Pfi - Edinburgh DOA,S01008518,905,905,1.0
Avse Pfi - Edinburgh DOA,S01008519,809,809,1.0
Avse Pfi - Edinburgh DOA,S01008520,1076,1076,1.0
Avse Pfi - Edinburgh DOA,S01008521,907,907,1.0
Avse Pfi - Edinburgh DOA,S01008522,532,532,1.0
Avse Pfi - Edinburgh DOA,S01008523,967,967,1.0
Avse Pfi - Edinburgh DOA,S01008524,867,867,1.0
Avse Pfi - Edinburgh DOA,S01008525,775,775,1.0
Avse Pfi - Edinburgh DOA,S01008526,850,850,1.0
Avse Pfi - Edinburgh DOA,S01008527,726,726,1.0
Avse Pfi - Edinburgh DOA,S01008528,720,720,1.0
Avse Pfi - Edinburgh DOA,S01008529,724,724,1.0
Avse Pfi - Edinburgh DOA,S01008530,724,724,1.0
Avse Pfi - Edinburgh DOA,S01008531,748,748,1.0
Avse Pfi - Edinburgh DOA,S01008532,443,443,1.0
Avse Pfi - Edinburgh DOA,S01008533,549,549,1.0
Avse Pfi - Edinburgh DOA,S01008534,723,723,1.0
Avse Pfi - Edinburgh DOA,S01008535,709,709,1.0
Avse Pfi - Edinburgh DOA,S01008536,569,569,1.0
Avse Pfi - Edinburgh DOA,S01008537,673,673,1.0
Avse Pfi - Edinburgh DOA,S01008538,542,542,1.0
Avse Pfi - Edinburgh DOA,S01008539,833,837,0.995221027479092
Avse Pfi - Edinburgh DOA,S01008540,861,861,1.0
Avse Pfi - Edinburgh DOA,S01008541,886,886,1.0
Avse Pfi - Edinburgh DOA,S01008542,942,942,1.0
Avse Pfi - Edinburgh DOA,S01008543,740,740,1.0
Avse Pfi - Edinburgh DOA,S01008544,653,653,1.0
Avse Pfi - Edinburgh DOA,S01008545,898,898,1.0
Avse Pfi - Edinburgh DOA,S01008546,806,806,1.0
Avse Pfi - Edinburgh DOA,S01008547,1010,1010,1.0
Avse Pfi - Edinburgh DOA,S01008548,835,835,1.0
Avse Pfi - Edinburgh DOA,S01008549,949,952,0.9968487394957983
Avse Pfi - Edinburgh DOA,S01008550,798,798,1.0
Avse Pfi - Edinburgh DOA,S01008551,984,984,1.0
Avse Pfi - Edinburgh DOA,S01008552,876,876,1.0
Avse Pfi - Edinburgh DOA,S01008553,528,528,1.0
Avse Pfi - Edinburgh DOA,S01008554,1090,1090,1.0
Avse Pfi - Edinburgh DOA,S01008555,1036,1036,1.0
Avse Pfi - Edinburgh DOA,S01008556,778,778,1.0
Avse Pfi - Edinburgh DOA,S01008557,928,928,1.0
Avse Pfi - Edinburgh DOA,S01008558,912,912,1.0
Avse Pfi - Edinburgh DOA,S01008559,715,715,1.0
Avse Pfi - Edinburgh DOA,S01008560,699,699,1.0
Avse Pfi - Edinburgh DOA,S01008561,674,674,1.0
Avse Pfi - Edinburgh DOA,S01008562,669,675,0.9911111111111112
Avse Pfi - Edinburgh DOA,S01008563,830,830,1.0
Avse Pfi - Edinburgh DOA,S01008564,587,587,1.0
Avse Pfi - Edinburgh DOA,S01008565,930,930,1.0
Avse Pfi - Edinburgh DOA,S01008566,1066,1066,1.0
Avse Pfi - Edinburgh DOA,S01008567,744,744,1.0
Avse Pfi - Edinburgh DOA,S01008568,793,793,1.0
Avse Pfi - Edinburgh DOA,S01008569,640,640,1.0
